X,Y,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.4937515,43.6716728,275,2432106,2007,D12,Shooting,2007-10-06T04:00:00.000Z,111,Rockcliffe-Smythe (111),43.6716728,-79.4937515,465
-79.4312897,43.6805267,276,2424127,2007,D13,Shooting,2007-10-08T04:00:00.000Z,94,Wychwood (94),43.6805267,-79.4312897,466
-79.5113907,43.7501373,277,1902459,2007,D31,Shooting,2007-10-09T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7501373,-79.5113907,467
-79.3101501,43.7570267,278,2421605,2007,D41,Shooting,2007-10-14T04:00:00.000Z,119,Wexford/Maryvale (119),43.7570267,-79.3101501,468
-79.3618851,43.8090858,279,2538165,2007,D33,Other,2007-10-18T04:00:00.000Z,48,Hillcrest Village (48),43.8090858,-79.3618851,469
-79.3529129,43.6661606,280,2371208,2007,D55,Shooting,2007-10-21T04:00:00.000Z,68,North Riverdale (68),43.6661606,-79.3529129,470
-79.5305557,43.6467743,281,2404032,2007,D22,Shooting,2007-10-27T04:00:00.000Z,14,Islington-City Centre West (14),43.6467743,-79.5305557,471
-79.2874374,43.707939099999983,282,2357094,2007,D41,Other,2007-09-01T04:00:00.000Z,120,Clairlea-Birchmount (120),43.7079391,-79.2874374,472
-79.515686,43.7491493,283,2345705,2007,D31,Stabbing,2007-11-03T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7491493,-79.515686,473
-79.366951,43.6565018,284,2403226,2007,D51,Shooting,2007-11-06T05:00:00.000Z,73,Moss Park (73),43.6565018,-79.366951,474
-79.2993469,43.783596,285,2528917,2007,D42,Shooting,2007-11-23T05:00:00.000Z,118,Tam O'Shanter-Sullivan (118),43.783596,-79.2993469,475
-79.2349319,43.7946625,286,2507368,2007,D42,Shooting,2007-11-23T05:00:00.000Z,132,Malvern (132),43.7946625,-79.2349319,476
-79.3089523,43.7105293,287,2424731,2007,D54,Stabbing,2007-11-23T05:00:00.000Z,54,O'Connor-Parkview (54),43.7105293,-79.3089523,477
-79.5147705,43.7672119,288,2345729,2007,D31,Shooting,2007-11-25T05:00:00.000Z,24,Black Creek (24),43.7672119,-79.5147705,478
-79.1954346,43.784832,289,2370103,2007,D43,Shooting,2007-11-28T05:00:00.000Z,135,Morningside (135),43.784832,-79.1954346,479
-79.212547299999983,43.812088,290,2101272,2007,D42,Shooting,2007-12-02T05:00:00.000Z,132,Malvern (132),43.812088,-79.2125473,480
-79.2110214,43.8179092,291,2311686,2007,D42,Shooting,2007-12-14T05:00:00.000Z,131,Rouge (131),43.8179092,-79.2110214,481
-79.359504700000016,43.6583023,292,2428698,2007,D51,Shooting,2007-12-23T05:00:00.000Z,72,Regent Park (72),43.6583023,-79.3595047,482
-79.5870972,43.753620099999985,293,2446147,2007,D23,Stabbing,2007-12-25T05:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972,483
-79.252586400000013,43.7754402,294,3098346,2007,D43,Stabbing,2007-12-01T05:00:00.000Z,137,Woburn (137),43.7754402,-79.2525864,484
-79.3689957,43.64394,295,3654724,2007,D51,Other,2007-02-11T05:00:00.000Z,77,Waterfront Communities-The Island (77),43.64394,-79.3689957,485
-79.317009,43.7089462,296,2586541,2008,D54,Stabbing,2008-01-01T05:00:00.000Z,54,O'Connor-Parkview (54),43.7089462,-79.317009,486
-79.3864212,43.6693687,297,2601995,2008,D51,Shooting,2008-01-12T05:00:00.000Z,75,Church-Yonge Corridor (75),43.6693687,-79.3864212,487
-79.3494568,43.666153,298,2532076,2008,D55,Shooting,2008-01-17T05:00:00.000Z,68,North Riverdale (68),43.666153,-79.3494568,488
-79.5096054,43.7248955,299,2605959,2008,D31,Shooting,2008-01-22T05:00:00.000Z,26,Downsview-Roding-CFB (26),43.7248955,-79.5096054,489
-79.2447205,43.744792899999986,300,2520381,2008,D43,Shooting,2008-02-01T05:00:00.000Z,138,Eglinton East (138),43.7447929,-79.2447205,490
-79.2447205,43.744792899999986,301,2520381,2008,D43,Shooting,2008-02-01T05:00:00.000Z,138,Eglinton East (138),43.7447929,-79.2447205,491
-79.2305603,43.8135796,302,2428060,2008,D42,Shooting,2008-02-17T05:00:00.000Z,132,Malvern (132),43.8135796,-79.2305603,492
-79.2114182,43.7637329,303,2377423,2008,D43,Shooting,2008-02-22T05:00:00.000Z,137,Woburn (137),43.7637329,-79.2114182,493
-79.4095001,43.647747,304,2604028,2008,D14,Other,2008-02-23T05:00:00.000Z,81,Trinity-Bellwoods (81),43.647747,-79.4095001,494
-79.456749,43.751667,305,2651936,2008,D32,Other,2008-02-28T05:00:00.000Z,34,Bathurst Manor (34),43.751667,-79.456749,495
-79.4482269,43.7191162,306,2704738,2008,D32,Shooting,2008-03-14T04:00:00.000Z,31,Yorkdale-Glen Park (31),43.7191162,-79.4482269,496
-79.5722122,43.65239720000001,307,2722663,2008,D22,Stabbing,2008-03-18T04:00:00.000Z,13,Etobicoke West Mall (13),43.6523972,-79.5722122,497
-79.341606100000021,43.6648445,308,2371247,2008,D55,Shooting,2008-03-18T04:00:00.000Z,70,South Riverdale (70),43.6648445,-79.3416061,498
-79.4458618,43.6620674,309,2586161,2008,D14,Stabbing,2008-04-17T04:00:00.000Z,93,Dovercourt-Wallace Emerson-Junction (93),43.6620674,-79.4458618,499
-79.219726599999987,43.7451057,310,2651181,2008,D43,Stabbing,2008-05-04T04:00:00.000Z,139,Scarborough Village (139),43.7451057,-79.2197266,500
-79.4656143,43.6678658,311,2743492,2008,D12,Stabbing,2008-04-30T04:00:00.000Z,90,Junction Area (90),43.6678658,-79.4656143,501
-79.219726599999987,43.7451057,312,2577122,2008,D43,Other,2008-05-04T04:00:00.000Z,139,Scarborough Village (139),43.7451057,-79.2197266,502
-79.3351898,43.731266,313,2783886,2008,D33,Stabbing,2008-05-17T04:00:00.000Z,42,Banbury-Don Mills (42),43.731266,-79.3351898,503
-79.3351898,43.731266,314,2783886,2008,D33,Other,2008-05-17T04:00:00.000Z,42,Banbury-Don Mills (42),43.731266,-79.3351898,504
-79.2139359,43.810550699999986,315,2853575,2008,D42,Shooting,2008-05-28T04:00:00.000Z,132,Malvern (132),43.8105507,-79.2139359,505
-79.297164899999984,43.7841148,316,2855091,2008,D42,Shooting,2008-05-28T04:00:00.000Z,118,Tam O'Shanter-Sullivan (118),43.7841148,-79.2971649,506
-79.2992859,43.7166748,317,2709711,2008,D54,Shooting,2008-05-30T04:00:00.000Z,120,Clairlea-Birchmount (120),43.7166748,-79.2992859,507
-79.3063965,43.6859818,318,2615345,2008,D55,Shooting,2008-02-25T05:00:00.000Z,62,East End-Danforth (62),43.6859818,-79.3063965,508
-79.4094772,43.6450157,319,2555616,2008,D14,Shooting,2008-06-13T04:00:00.000Z,82,Niagara (82),43.6450157,-79.4094772,509
-79.4094772,43.6450157,320,2555616,2008,D14,Shooting,2008-06-13T04:00:00.000Z,82,Niagara (82),43.6450157,-79.4094772,510
-79.4937515,43.6716728,321,2399394,2008,D12,Shooting,2008-06-15T04:00:00.000Z,111,Rockcliffe-Smythe (111),43.6716728,-79.4937515,511
-79.286727900000017,43.7000847,322,2810109,2008,D41,Other,2008-06-23T04:00:00.000Z,120,Clairlea-Birchmount (120),43.7000847,-79.2867279,512
-79.297309900000016,43.6965256,323,2368814,2008,D54,Other,2008-06-22T04:00:00.000Z,61,Taylor-Massey (61),43.6965256,-79.2973099,513
-79.313026400000012,43.7514992,324,2862776,2008,D41,Shooting,2008-07-09T04:00:00.000Z,119,Wexford/Maryvale (119),43.7514992,-79.3130264,514
-79.3945694,43.6891327,325,2906096,2008,D53,Stabbing,2008-07-14T04:00:00.000Z,98,Rosedale-Moore Park (98),43.6891327,-79.3945694,515
-79.1954346,43.784832,326,2517552,2008,D43,Shooting,2008-07-17T04:00:00.000Z,135,Morningside (135),43.784832,-79.1954346,516
-79.1527786,43.797863,327,2816710,2008,D42,Shooting,2008-07-19T04:00:00.000Z,131,Rouge (131),43.797863,-79.1527786,517
-79.5838089,43.7468147,678,GO-20142966747,2014,D23,Stabbing,2014-09-23T04:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7468147,-79.5838089,518
-79.3313522,43.681713099999989,679,GO-20142992607,2014,D54,Stabbing,2014-09-27T04:00:00.000Z,66,Danforth (66),43.6817131,-79.3313522,519
-79.2205582,43.742836,680,GO-20143005270,2014,D43,Shooting,2014-09-29T04:00:00.000Z,139,Scarborough Village (139),43.742836,-79.2205582,520
-79.4449997,43.696071599999989,681,GO-20143017592,2014,D13,Stabbing,2014-09-30T04:00:00.000Z,107,Oakwood Village (107),43.6960716,-79.4449997,521
-79.474075299999981,43.6789017,682,GO-20143045566,2014,D12,Shooting,2014-10-05T04:00:00.000Z,90,Junction Area (90),43.6789017,-79.4740753,522
-79.545532199999982,43.700695,683,GO-20143053009,2014,D23,Shooting,2014-10-06T04:00:00.000Z,6,Kingsview Village-The Westway (6),43.700695,-79.5455322,523
-79.545532199999982,43.700695,684,GO-20143053009,2014,D23,Shooting,2014-10-06T04:00:00.000Z,6,Kingsview Village-The Westway (6),43.700695,-79.5455322,524
-79.3637543,43.6572227,685,GO-20143053896,2014,D51,Shooting,2014-10-06T04:00:00.000Z,72,Regent Park (72),43.6572227,-79.3637543,525
-79.361152600000011,43.790741,686,GO-20143094406,2014,D33,Other,2014-10-13T04:00:00.000Z,47,Don Valley Village (47),43.790741,-79.3611526,526
-79.4381866,43.6664314,687,GO-20143107536,2014,D11,Other,2014-10-15T04:00:00.000Z,93,Dovercourt-Wallace Emerson-Junction (93),43.6664314,-79.4381866,527
-79.4860001,43.742870299999986,688,GO-20143208371,2014,D31,Shooting,2014-10-30T04:00:00.000Z,26,Downsview-Roding-CFB (26),43.7428703,-79.4860001,528
-79.4715118,43.690979,689,GO-20143252379,2014,D12,Shooting,2014-11-06T05:00:00.000Z,112,Beechborough-Greenbrook (112),43.690979,-79.4715118,529
-79.366951,43.6565018,690,5260102,2013,D51,Shooting,2013-09-23T04:00:00.000Z,73,Moss Park (73),43.6565018,-79.366951,530
-79.4829025,43.6788063,691,4934653,2013,D12,Other,2013-05-24T04:00:00.000Z,111,Rockcliffe-Smythe (111),43.6788063,-79.4829025,531
-79.3846512,43.650444,692,5237175,2013,D52,Stabbing,2013-10-06T04:00:00.000Z,76,Bay Street Corridor (76),43.650444,-79.3846512,532
-79.398925800000015,43.6551399,693,5229819,2013,D52,Other,2013-10-20T04:00:00.000Z,78,Kensington-Chinatown (78),43.6551399,-79.3989258,533
-79.364502,43.6597633,694,GO-20135070453,2013,D51,Other,2013-11-01T04:00:00.000Z,72,Regent Park (72),43.6597633,-79.364502,534
-79.4223862,43.6738396,695,GO-2013939200,2013,D13,Other,2013-11-09T05:00:00.000Z,94,Wychwood (94),43.6738396,-79.4223862,535
-79.298027,43.6788864,696,GO-2013943773,2013,D55,Shooting,2013-11-10T05:00:00.000Z,62,East End-Danforth (62),43.6788864,-79.298027,536
-79.3952713,43.730171199999987,697,GO-20131036741,2013,D32,Stabbing,2013-11-25T05:00:00.000Z,105,Lawrence Park North (105),43.7301712,-79.3952713,537
-79.5101013,43.7115097,698,GO-20131225193,2013,D12,Other,2013-12-26T05:00:00.000Z,23,Pelmo Park-Humberlea (23),43.7115097,-79.5101013,538
-79.2721939,43.824276,699,GO-20131231259,2013,D42,Other,2013-12-27T05:00:00.000Z,130,Milliken (130),43.824276,-79.2721939,539
-79.4502182,43.7530708,700,4832295,2013,D32,Other,2013-07-04T04:00:00.000Z,34,Bathurst Manor (34),43.7530708,-79.4502182,540
-79.2264557,43.8298149,701,1786165,2006,D42,Shooting,2006-07-12T04:00:00.000Z,131,Rouge (131),43.8298149,-79.2264557,541
-79.2633667,43.7125626,702,4140412,2011,D41,Other,2011-10-17T04:00:00.000Z,120,Clairlea-Birchmount (120),43.7125626,-79.2633667,542
-79.4228516,43.6412392,703,3405116,2011,D14,Other,2011-10-07T04:00:00.000Z,84,Little Portugal (84),43.6412392,-79.4228516,543
-79.542305,43.7684555,704,4913786,2013,D31,Shooting,2013-02-24T05:00:00.000Z,21,Humber Summit (21),43.7684555,-79.542305,544
